TotalFile:1888	PakTime:2025-10-29 11:30:18	PakTimeSave:6901985a	CRC:31f28d6a
Index	ID	Time	FileName	Size	InPakSize	ComprFlag	CRC
0	5d6c8f	2025-9-3 10:16:5	\setting\npc\droprate\gaojidadao\95boss_shui.txt	1087	332	4	af22191e
1	5f99a3	2025-9-3 10:16:5	\setting\map\map_info\qingluodao\info.txt	7788	2146	4	5ba4ac5e
2	cc4ae3	2025-9-7 17:22:35	\setting\map\map_info\xueluomenshan2\trap\to_afanggongfeixu2.txt	363	130	4	e6b5f4ca
3	cf8cae	2025-9-3 10:16:5	\setting\map\map_info\longhuhuanjing_1_tycjs1\info.txt	499	341	4	6eebb315
4	e80def	2025-9-7 17:22:35	\setting\map\map_info\fuliudong\trap\to_fenmingtangchen1.txt	363	135	4	ed27afbb
5	f6b1f1	2025-9-3 10:16:5	\setting\map\map_info\tiesuozhanqiao_dali\info.txt	513	285	4	ebe39f01
6	1d9aebd	2025-9-7 17:22:35	\setting\map\map_info\shihunwupo1\trap\to_gulangyu1.txt	349	123	4	5d6b0e7a
7	1e3fe29	2025-9-3 10:16:5	\setting\map\map_info\wulingshan\info.txt	2183	763	4	e84f55c3
8	1ecb9bb	2025-9-7 17:22:35	\setting\map\map_info\yundangongchen1\trap\to_yueyaquan1.txt	349	123	4	5d6b0e7a
9	1fd9c6d	2025-9-3 10:16:9	\setting\downloader\reslist\map\xoyo_lv6_youxia3\element_res.txt	3611	786	4	bce35f1e
10	205ab26	2025-9-3 10:16:5	\setting\map\map_info\shihunwushu2\info.txt	467	337	4	9119df32
11	265cd9a	2025-9-7 17:22:33	\setting\map\map_info\gaibang_shinei\info.txt	229	175	4	92bb7e25
12	2837d4e	2025-9-3 10:16:9	\setting\downloader\reslist\map\zhuxianzhenzhunbeichang1\element_res.txt	4581	1048	4	ab9d4d11
13	2dfa358	2025-9-3 10:16:5	\setting\map\map_info\talin_2_hfjct1\info.txt	621	384	4	4726ef69
14	2e050d9	2025-9-7 17:22:35	\setting\map\map_info\sanxiazhandao\trap\to_hunyangdianying1.txt	363	133	4	4ce424cb
15	2ed266c	2025-9-3 10:16:1	\setting\partner\moonstone.txt	1434	533	4	fdb3b902
16	318e084	2025-9-3 10:16:9	\setting\downloader\reslist\map\ercengchuancang\element_res.txt	3226	603	4	660dd723
17	3209a20	2025-9-3 10:16:0	\setting\lifeskill\recipekinddesc.txt	649	448	4	a0a3add6
18	35e8901	2025-9-3 10:16:4	\setting\item\001\partnerequip\partnerweapon.txt	2485	682	4	6ccef02e
19	3d53aea	2025-9-3 10:16:1	\setting\boss\hellxoyo\xiaoyaoguzhu4.ini	728	307	4	5d691ffc
20	3e1b634	2025-9-7 17:22:29	\setting\map\mapid_level.txt	905	475	4	3db338a7
21	432372f	2025-9-3 10:16:5	\setting\map\map_info\linanfu_mishi\info.txt	448	327	4	89f8bc56
